Clause,mainVerb,mainReferent,Gold
"$45,000  salaries /office expenses for staff to oversee the effort between now and election day.",/,salaries,CANNOT_DECIDE
"$30,000  production of television and radio spots alerting the public to the findings of the above survey.",alerting,production,CANNOT_DECIDE
"$100,000  placement of voter education spots in the key media including print, radio and television.",—,$,STATIVE
Money must be in hand by mid-August to reserve time for September and October!,be,Money,STATIVE
"$15,000  election day get-out-the-vote drive,",,,CANNOT_DECIDE
including phone calls to get voters to the polls.,including,,STATIVE
You stood by Defenders,stood,You,DYNAMIC
when we defeated the wealthy American Farm Bureau in court,defeated,we,DYNAMIC
and saved the lives of the wolves in Yellowstone National Park and central Idaho.,saved,we,DYNAMIC
"Now, Im hoping",’m,I,STATIVE
I can count on your moral and financial support again today. to help save Alaskas wolves from same-day airborne land-and-shoot killing.,count,I,STATIVE
"Your special donation today is absolutely critical,",is,donation,STATIVE
because many of Alaskas politicians clearly have anti-wolf agendas.,have,many,STATIVE
They have the financial backing of powerful special interests and the determination to ignore the will of the people of Alaska and the American public.,have,They,STATIVE
Please let Alaskans know that youre behind them.,let,,CANNOT_DECIDE
Let them know you share their concern about protecting Alaskas wolves.,Let,,CANNOT_DECIDE
Please help save Alaskas wolves by doing these two things: 1.,help,,CANNOT_DECIDE
SIGN the enclosed Citizens Advisory Ballot to show your support for repealing same-day airborne land-and-shoot wolf killing in Alaska; 2.,show,Ballot,CANNOT_DECIDE
RUSH a special donation to help our Alaska allies overturn this odious new law.,RUSH,,CANNOT_DECIDE
"Remember, for this emergency effort to succeed,",succeed,effort,CANNOT_DECIDE
we must act immediately.,act,we,DYNAMIC
"So, please take out your pen right now",take,,CANNOT_DECIDE
and sign your absentee ballot.,sign,,CANNOT_DECIDE
"And then, mail it back to us along with your emergency donation to help save Alaskas wolves.",save,mail,CANNOT_DECIDE
Thank you for your strong support.,Thank,,CANNOT_DECIDE
"Sincerely,",,,CANNOT_DECIDE
Rodger Schlickeisen,,,CANNOT_DECIDE
President,,,CANNOT_DECIDE
"P.S.: Defenders needs your help to raise $100,000 in emergency funds to help ensure",needs,P.S.,STATIVE
that the coalitions Emergency Effort to Save Alaskas Wolves succeeds.,succeeds,Effort,DYNAMIC
"So, please sign the enclosed Citizens Advisory Ballot to lend your moral support to our Alaska friends",please,,CANNOT_DECIDE
and return it in the enclosed envelope with a special donation.,return,,CANNOT_DECIDE
Time is so short.,is,Time,STATIVE
