,Clause,mainVerb,mainReferent,Contrast Gold,predictions,Contrast,Contrast_Labels
36,Much of the continuing Diana coverage increasingly exists within the realm of meta- and meta-meta-pieces.,spinning,Much,STATIVE,['STATIVE'],y,DYNAMIC
37,"The LAT , for instance, likes to examine",examines,LAT,STATIVE,['DYNAMIC'],y,DYNAMIC
38,"what it takes to be a new ""cuddly-feely"" Britain born of the national grief experience.",takes,it,STATIVE,['STATIVE'],,DYNAMIC
39,But USAT and the WP also each contain pretty newsy Diana pieces as well.,run,USAT,STATIVE,['STATIVE'],y,DYNAMIC
40,Both have a reveal,reveal,Both,STATIVE,['STATIVE'],y,DYNAMIC
41,"that Tony Blair had conferred with Diana about a goodwill ambassador job shortly before her death,",conferred,Blair,DYNAMIC,['DYNAMIC'],,STATIVE
42,and USAT reports,reports,Both,DYNAMIC,['CANNOT_DECIDE'],,STATIVE
43,that Le Figaro says,says,Figaro,DYNAMIC,['DYNAMIC'],,STATIVE
44,a dying Diana gave two crash witnesses a message for her family and children.,gave,Diana,DYNAMIC,['DYNAMIC'],,STATIVE
46,"""Not everyone in Calcutta, or India for that matter, unanimously praises the nun,",is,everyone,DYNAMIC,['STATIVE'],,STATIVE
47,whose organization was able to raise millions of dollars worldwide,was,organization,STATIVE,['DYNAMIC'],,DYNAMIC
48,but made virtually no significant changes in the social structure of this collapsing city's poor neighborhoods.,made,organization,DYNAMIC,['DYNAMIC'],,STATIVE
49,Salvation -- hers and that of the destitute from the gutters --,rescued,she,STATIVE,['DYNAMIC'],y,DYNAMIC
50,"was her aim, not economic or social development",was,Salvation,STATIVE,['STATIVE'],,DYNAMIC
51,"as many others understand it,",understand,development,STATIVE,['STATIVE'],,DYNAMIC
52,"she said.""",said,she,DYNAMIC,['DYNAMIC'],,STATIVE
53,It's been regarded as odd,'s,It,DYNAMIC,['STATIVE'],y,STATIVE
54,"however, that in repeating this charge, the Times didn't interview the man",interview,Times,DYNAMIC,['DYNAMIC'],,STATIVE
55,"most closely associated with it, Christopher Hitchens,",associated,man,STATIVE,['STATIVE'],,DYNAMIC
56,or refer to the book,refer,Times,CANNOT_DECIDE,['DYNAMIC'],,CANNOT_DECIDE
57,"where he set it out, The Missionary Position .",set,he,DYNAMIC,['DYNAMIC'],,STATIVE
60,the LAT puts over its picture of Martina Hingis standing next to Venus Williams after beating her at the U.S. Open --,puts,LAT,DYNAMIC,['DYNAMIC'],,STATIVE
61,"""Venus Brought Back to Earth""?",,,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
62,Doesn't that sound like celebrating a defeat,sound,that,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
63,rather than celebrating a victory?,celebrating,defeat,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
64,"How odd -- and a good illustration of how trying to shoe-horn in a ""witty"" headline necessarily involves a slippery slope into an idea",drive,illustration,STATIVE,['STATIVE'],y,DYNAMIC
65,that doesn't fit,fit,idea,STATIVE,['STATIVE'],,DYNAMIC
66,or is undeserved.,is,idea,STATIVE,['STATIVE'],,DYNAMIC
67,Given that Ms. Williams' parents hover over her,Given,surprised,DYNAMIC,['STATIVE'],y,STATIVE
68,"and that she is a black in a still pretty-lilly-white sport, don't be surprised",surprised,,STATIVE,['STATIVE'],,DYNAMIC
69,if there's a bit of a complaint about this.,'s,bit,STATIVE,['STATIVE'],,DYNAMIC
