,Clause,origClause,mainVerb,contrastVerb,mainReferent,Contrast,predictions,Strategy,Gold,gold_predictions
94,The dealer knows to deal cards from his/her left,The dealer deals cards from his/her left,left,knows,cards,STATIVE,['DYNAMIC'],thought,DYNAMIC,['DYNAMIC']
95,"(the position on the dealer's far left is called ""first base"") to her far right (""third base"").","(the position on the dealer's far left is often referred to as ""first base"") to her far right (""third base"").",referred,called,position,STATIVE,['STATIVE'],descriptive,DYNAMIC,['STATIVE']
96,Each box possesses an initial hand of two cards visible to the people,Each box is dealt an initial hand of two cards visible to the people,dealt,possesses,box,STATIVE,['STATIVE'],descriptive,DYNAMIC,['DYNAMIC']
97,"who play the game, and often to any other players.","playing on it, and often to any other players.",playing,play,people,DYNAMIC,['DYNAMIC'],upgrade_ppl,STATIVE,['DYNAMIC']
98,"The dealer's hand has its first card face up,","The dealer's hand receives its first card face up,",receives,has,hand,STATIVE,['STATIVE'],light_verb,DYNAMIC,['DYNAMIC']
99,"and in ""hole card"" games their immediate second card is face down (the hole card),","and in ""hole card"" games immediately receives its second card face down (the hole card),",receives,is,hand,STATIVE,['STATIVE'],copula,DYNAMIC,['STATIVE']
100,which the dealer is free to peek at,which the dealer peeks at,peeks,is,dealer,STATIVE,['DYNAMIC'],copula,DYNAMIC,['DYNAMIC']
101,but needs to not reveal,but does not reveal,reveal,needs to,games,STATIVE,['STATIVE'],deontic,DYNAMIC,['DYNAMIC']
102,unless the dealer's hand would be a blackjack.,unless it makes the dealer's hand a blackjack.,makes,be,it,STATIVE,['STATIVE'],copula,DYNAMIC,['STATIVE']
103,Locations of hole card games usually resemble tables with a small mirror or electronic sensor,Hole card games are sometimes played on tables with a small mirror or electronic sensor,played,resemble,games,STATIVE,['STATIVE'],descriptive,DYNAMIC,['STATIVE']
104,that have a secure view of the hole card.,that is used to peek securely at the hole card.,used,have,mirror,STATIVE,['STATIVE'],light_verb,DYNAMIC,['DYNAMIC']
105,"In European casinos, ""no hole card"" games are often played;","In European casinos, ""no hole card"" games are prevalent;",are,played,games,DYNAMIC,['DYNAMIC'],insert_verb,STATIVE,['STATIVE']
106,the dealer's second card remains neither drawn nor consulted,the dealer's second card is neither drawn nor consulted,drawn,remains,card,STATIVE,['DYNAMIC'],descriptive,DYNAMIC,['DYNAMIC']
107,depending on whether all hands have been played,until the players have all played their hands.,played,depending on,players,STATIVE,['STATIVE'],downgrade_to_ppl,DYNAMIC,['DYNAMIC']
108,"Cards appear either from one or two handheld decks, from a dealer's shoe, or from a shuffling machine.","Cards are dealt either from one or two handheld decks, from a dealer's shoe, or from a shuffling machine.",dealt,appear,Cards,STATIVE,['DYNAMIC'],descriptive,DYNAMIC,['DYNAMIC']
109,"Single cards involve dealing to each wagered-on position clockwise from the dealer's left,","Single cards are dealt to each wagered-on position clockwise from the dealer's left,",dealt,involve,cards,STATIVE,['DYNAMIC'],descriptive,DYNAMIC,['DYNAMIC']
110,"involving a single card that follows the dealer,","followed by a single card to the dealer,",followed,involving,position,STATIVE,['STATIVE'],descriptive,DYNAMIC,['CANNOT_DECIDE']
111,and an additional card that corresponds to each of the positions in play.,followed by an additional card to each of the positions in play.,followed,corresponds,position,STATIVE,['STATIVE'],descriptive,DYNAMIC,['DYNAMIC']
112,The players' initial cards need to consistently be dealt either face up,The players' initial cards may be dealt face up,dealt,need to,cards,STATIVE,['DYNAMIC'],deontic,DYNAMIC,['DYNAMIC']
113,or face down (more common in single-deck games).,or face down (more common in single-deck games).,face,,,CANNOT_DECIDE,['DYNAMIC'],,CANNOT_DECIDE,['DYNAMIC']
