,Clause,origClause,mainVerb,mainReferent,contrastVerb,Contrast,predictions,gold_predictions,Strategy
38,"what it takes to be a new ""cuddly-feely"" Britain born of the national grief experience.","what it takes to be a new ""cuddly-feely"" Britain born of the national grief experience.",takes,it,,STATIVE,['STATIVE'],['STATIVE'],
39,But USAT and the WP also each contain pretty newsy Diana pieces as well.,But USAT and the WP also each run pretty newsy Diana pieces as well.,run,USAT,contain,STATIVE,['STATIVE'],['STATIVE'],descriptive
40,Both have a reveal,Both reveal,reveal,Both,have,STATIVE,['STATIVE'],['DYNAMIC'],light_verb
41,"that Tony Blair had conferred with Diana about a goodwill ambassador job shortly before her death,","that Tony Blair had conferred with Diana about a goodwill ambassador job shortly before her death,",conferred,Blair,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
42,and USAT reports,and USAT reports,reports,Both,,DYNAMIC,['CANNOT_DECIDE'],['CANNOT_DECIDE'],
43,that Le Figaro says,that Le Figaro says,says,Figaro,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
44,a dying Diana gave two crash witnesses a message for her family and children.,a dying Diana gave two crash witnesses a message for her family and children.,gave,Diana,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
45,,Give the NYT credit for getting Mother Teresa back on the front page and a bonus point for including some criticism of her in the story.,,,,,,['DYNAMIC'],
46,"""Not everyone in Calcutta, or India for that matter, unanimously praises the nun,","""Not everyone in Calcutta, or India for that matter, is unanimous in praising the nun,",is,everyone,praises,DYNAMIC,['STATIVE'],['STATIVE'],participant
47,whose organization was able to raise millions of dollars worldwide,whose organization was able to raise millions of dollars worldwide,was,organization,,STATIVE,['DYNAMIC'],['DYNAMIC'],
48,but made virtually no significant changes in the social structure of this collapsing city's poor neighborhoods.,but made virtually no significant changes in the social structure of this collapsing city's poor neighborhoods.,made,organization,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
49,Salvation -- hers and that of the destitute from the gutters --,Salvation -- hers and that of the destitute she rescued from the gutters --,rescued,she,,STATIVE,['DYNAMIC'],['DYNAMIC'],deletion?
50,"was her aim, not economic or social development","was her aim, not economic or social development",was,Salvation,,STATIVE,['STATIVE'],['STATIVE'],
51,"as many others understand it,","as many others understand it,",understand,development,,STATIVE,['STATIVE'],['STATIVE'],
52,"she said.""","she said.""",said,she,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
53,It's been regarded as odd,"It's odd,",'s,It,regarded,DYNAMIC,['STATIVE'],['STATIVE'],participant
54,"however, that in repeating this charge, the Times didn't interview the man","however, that in repeating this charge, the Times didn't interview the man",interview,Times,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
55,"most closely associated with it, Christopher Hitchens,","most closely associated with it, Christopher Hitchens,",associated,man,,STATIVE,['STATIVE'],['STATIVE'],
56,or refer to the book,or refer to the book,refer,Times,,CANNOT_DECIDE,['DYNAMIC'],['DYNAMIC'],
57,"where he set it out, The Missionary Position .","where he set it out, The Missionary Position .",set,he,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
,,"Hmmm, wanna bet there was a copy of the book on somebody's desk at the Times though?",,,,,,['CANNOT_DECIDE'],
,,What's with the top-of-the-front headline,,,,,,['CANNOT_DECIDE'],
60,the LAT puts over its picture of Martina Hingis standing next to Venus Williams after beating her at the U.S. Open --,the LAT puts over its picture of Martina Hingis standing next to Venus Williams after beating her at the U.S. Open --,puts,LAT,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
61,"""Venus Brought Back to Earth""?","""Venus Brought Back to Earth""?",,,,CANNOT_DECIDE,['CANNOT_DECIDE'],['CANNOT_DECIDE'],
62,Doesn't that sound like celebrating a defeat,Doesn't that sound like celebrating a defeat,sound,that,,CANNOT_DECIDE,['CANNOT_DECIDE'],['CANNOT_DECIDE'],
63,rather than celebrating a victory?,rather than celebrating a victory?,celebrating,defeat,,CANNOT_DECIDE,['CANNOT_DECIDE'],['CANNOT_DECIDE'],
64,"How odd -- and a good illustration of how trying to shoe-horn in a ""witty"" headline necessarily involves a slippery slope into an idea","How odd -- and a good illustration of how trying to shoe-horn in a ""witty"" headline can drive you into an idea",drive,illustration,involves,STATIVE,['STATIVE'],['STATIVE'],descriptive
65,that doesn't fit,that doesn't fit,fit,idea,,STATIVE,['STATIVE'],['STATIVE'],
66,or is undeserved.,or is undeserved.,is,idea,,STATIVE,['STATIVE'],['STATIVE'],
67,Given that Ms. Williams' parents hover over her,Given that Ms. Williams' parents are rather protective of her,Given,surprised,hover,DYNAMIC,['STATIVE'],['STATIVE'],participant
68,"and that she is a black in a still pretty-lilly-white sport, don't be surprised","and that she is a black in a still pretty-lilly-white sport, don't be surprised",surprised,,,STATIVE,['STATIVE'],['STATIVE'],
69,if there's a bit of a complaint about this.,if there's a bit of a complaint about this.,'s,bit,,STATIVE,['STATIVE'],['STATIVE'],
