,Clause,mainVerb,mainReferent,Gold,predictions
53,"or could have been of potential benefit to Chang.""",been,actions,STATIVE,['DYNAMIC']
54,"The committee was aghast at Torricelli for maintaining a ""personal and official relationship with Chang under circumstances",criticized,committee,STATIVE,['DYNAMIC']
55,where you knew,knew,you,STATIVE,['STATIVE']
56,"that he was attempting to ingratiate himself, in part through a pattern of attempts to provide you and those around you with gifts over a period of several years.""",attempting,he,DYNAMIC,['DYNAMIC']
57,"During that time, the panel believed that",said,panel,STATIVE,['STATIVE']
58,"Torricelli and members of his Senate staff took a series of actions to help Chang,",took,Torricelli,DYNAMIC,['DYNAMIC']
59,"contacting U.S. government officials,",contacting,took,DYNAMIC,['DYNAMIC']
60,writing letters to foreign government officials,writing,took,DYNAMIC,['DYNAMIC']
61,and bringing Chang or his business representatives into meetings with foreign officials.,bringing,took,DYNAMIC,['DYNAMIC']
62,"The committee doubted some of the most serious allegations,",confirm,committee,STATIVE,['DYNAMIC']
63,including Chang's claim,including,,STATIVE,['STATIVE']
64,that he gave Torricelli tens of thousands of dollars in cash.,gave,he,DYNAMIC,['DYNAMIC']
65,"According to the committee,",said,committee,STATIVE,['STATIVE']
66,it had weighed the fact,weighed,it,DYNAMIC,['DYNAMIC']
67,"that Torricelli's principal accuser in the case had been Chang, ""a witness",been,accuser,STATIVE,['STATIVE']
68,"whose credibility has been called into question by the Department of Justice, a United States District judge and his own conduct.""",called,credibility,DYNAMIC,['DYNAMIC']
69,"In May, Chang was subject to 18 months' imprisonment for obstructing justice",sentenced,judge,STATIVE,['DYNAMIC']
70,"and making $53,700 in illegal campaign contributions to Torricelli's 1996 Senate campaign.",making,,DYNAMIC,['DYNAMIC']
71,"But at the time of Chang's sentencing, the judge, Alfred M. Wolin, also thought",said,judge,STATIVE,['DYNAMIC']
72,"the businessman had cooperated closely with federal investigators,",cooperated,businessman,DYNAMIC,['DYNAMIC']
73,providing them with information,providing,,DYNAMIC,['DYNAMIC']
74,"that was ""material and credible.""",was,information,STATIVE,['STATIVE']
75,The ethics committee had been granted the power to punish lawmakers with sanctions,has,committee,DYNAMIC,['DYNAMIC']
76,ranging from public or private letters of admonition to censure or expulsion.,ranging,sanctions,STATIVE,['DYNAMIC']
77,"In Torricelli's case, it appeared to have acted",acted,it,STATIVE,['DYNAMIC']
78,"without conducting a full investigation,",conducting,it,DYNAMIC,['CANNOT_DECIDE']
79,saying,saying,it,DYNAMIC,['STATIVE']
80,the case had been exhaustively scrutinized by federal authorities.,scrutinized,case,DYNAMIC,['DYNAMIC']
81,"A lawyer for Chang, Bradley D. Simon, felt Tuesday night",said,lawyer,STATIVE,['DYNAMIC']
82,that he was disappointed,disappointed,he,STATIVE,['STATIVE']
83,that the ethics panel had confirmed only a handful of the gifts,confirmed,panel,DYNAMIC,['DYNAMIC']
84,he said,said,he,DYNAMIC,['DYNAMIC']
85,"his client had given Torricelli,",given,client,DYNAMIC,['DYNAMIC']
86,and that the panel did not deal with what,deal,panel,DYNAMIC,['DYNAMIC']
87,he said,said,panel,DYNAMIC,['DYNAMIC']
88,were actions by Torricelli to thwart the federal investigation.,were,what,STATIVE,['DYNAMIC']
89,"""This matter proved to be far more serious than what the committee found,""",was,matter,DYNAMIC,['DYNAMIC']
90,Simon said.,said,Simon,DYNAMIC,['DYNAMIC']
91,As stated by two government officials,According,,DYNAMIC,['STATIVE']
92,"involved in the inquiry, the Ethics Committee received a vast amount of information from federal investigators, some of it under a court order",received,Committee,DYNAMIC,['DYNAMIC']
93,issued in March.,issued,order,DYNAMIC,['DYNAMIC']
94,"Witness statements, store receipts, and other documents were found",included,information,DYNAMIC,['DYNAMIC']
95,indicating,indicating,,DYNAMIC,['CANNOT_DECIDE']
96,that Chang had paid for expensive items,paid,Chang,DYNAMIC,['DYNAMIC']
97,"given to Torricelli, his sister, one of his longtime aides, Roberta Stern, and one of Torricelli's former girlfriends, Judy D. Balaban.",given,items,DYNAMIC,['DYNAMIC']
98,"The committee's letter did not contain information about Chang's reported gifts to Torricelli of an $8,100 Rolex watch, about a dozen Italian-made suits and a $3,816 antique grandfather clock.",mention,letter,STATIVE,['DYNAMIC']
99,"Nor did it include a citation of a $1,590 Oriental carpet that Chang gave to Torricelli's former wife, Susan Holloway Torricelli.",cite,it,STATIVE,['STATIVE']
100,A government official involved in the inquiry said,said,official,STATIVE,['DYNAMIC']
101,that evidence of those gifts was either incomplete or the subject of conflicting accounts by different witnesses.,was,evidence,STATIVE,['DYNAMIC']
102,The committee agreed with Torricelli's claims,confirmed,committee,STATIVE,['DYNAMIC']
103,he had made partial repayments to Chang for two gifts: a large-screen television and a stereo compact-disc player.,made,confirmed,DYNAMIC,['DYNAMIC']
104,But their verdict included the reprimand that,said,it,STATIVE,['DYNAMIC']
105,"the senator had showed ""poor judgment"" by failing to reimburse him for the full market value of the gifts.",showed,senator,DYNAMIC,['DYNAMIC']
106,A person familiar with Torricelli's testimony to the committee believed that,said,person,STATIVE,['STATIVE']
107,he had told its members,told,he,DYNAMIC,['DYNAMIC']
108,"that he repaid the ""wholesale"" cost of the appliances",repaid,he,DYNAMIC,['DYNAMIC']
109,because Chang told him,told,Chang,DYNAMIC,['DYNAMIC']
110,that was what he had paid.,was,told,STATIVE,['DYNAMIC']
111,The ethics panel also believed Torricelli had taken two bronze statues on loan from Chang.,criticized,panel,STATIVE,['DYNAMIC']
112,"The statues, the existence of which had not been publicly revealed before,",known,existence,DYNAMIC,['STATIVE']
113,were displayed in Torricelli's Senate office.,displayed,statues,DYNAMIC,['DYNAMIC']
114,"Finally, the committee discounted Torricelli's contention",appeared,committee,STATIVE,['DYNAMIC']
115,that he was not responsible for expensive earrings,was,he,STATIVE,['STATIVE']
116,"that Chang had given as Christmas gifts to his sister, Stern and Balaban.",given,Chang,DYNAMIC,['DYNAMIC']
117,"The senator stated ""that such items were of little value",were,belief,DYNAMIC,['STATIVE']
118,"or were not gifts to you under the circumstances"" displayed poor judgment",displayed,belief,DYNAMIC,['DYNAMIC']
119,"and violated Senate gift rules,",violated,belief,DYNAMIC,['DYNAMIC']
120,the panel found.,found,panel,DYNAMIC,['CANNOT_DECIDE']
121,As stated by a government official,According,,DYNAMIC,['STATIVE']
122,"involved in the inquiry, the information",involved,official,STATIVE,['CANNOT_DECIDE']
123,reviewed by the Ethics Committee also included an analysis by federal investigators showing,included,information,STATIVE,['STATIVE']
124,"that during the period in which Chang claimed to have made numerous cash payments to Torricelli, the senator spent thousands of dollars more in cash",spent,senator,CANNOT_DECIDE,['DYNAMIC']
125,than investigators could account for from his bank withdrawals and other known sources of income.,account,investigators,DYNAMIC,['DYNAMIC']
126,"The analysis, which consisted of discoveries made from banking and credit records, income-tax returns and congressional financial-disclosure forms,",assembled,analysis,STATIVE,['DYNAMIC']
127,showed by March,showed,analysis,DYNAMIC,['DYNAMIC']
128,"of 1998, Torricelli's cash expenditures were more than $22,000 in excess of the cash",were,expenditures,STATIVE,['STATIVE']
129,"he had generated from checks and automatic-teller machines,",generated,he,DYNAMIC,['DYNAMIC']
130,an official who has reviewed the document said.,said,official,DYNAMIC,['DYNAMIC']
131,"A spokeswoman for Torricelli, Debra DeShong, wanted to assert",said,spokeswoman,STATIVE,['DYNAMIC']
132,he had fully accounted for all the money,accounted,he,DYNAMIC,['STATIVE']
133,he had spent.,spent,he,DYNAMIC,['DYNAMIC']
134,“I recognize that Senator Torricelli provided the committee with a full explanation of sources of income and any funds,provided,Torricelli,STATIVE,['STATIVE']
135,"used for cash purposes,""",used,funds,DYNAMIC,['DYNAMIC']
136,she said.,said,she,DYNAMIC,['DYNAMIC']
137,"Even after the ethics committee disliked Torricelli on Tuesday night,",admonished,committee,STATIVE,['DYNAMIC']
138,"one of his most important political supporters, Senate majority leader Tom Daschle, D-S.D., continued to defend him,",continued,one,DYNAMIC,['DYNAMIC']
139,stating,stating,,DYNAMIC,['STATIVE']
140,"that the panel had found Chang ""a witness wholly without credibility.""",found,panel,DYNAMIC,['DYNAMIC']
141,"Desiring to quickly make a campaign issue of the Senate letter,",Moving,Pascoe,STATIVE,['STATIVE']
142,"Bill Pascoe, Forrester's campaign manager, said",said,Pascoe,DYNAMIC,['DYNAMIC']
143,the findings were evidence,were,findings,STATIVE,['STATIVE']
144,"that Torricelli had undertaken an ""extensive campaign of misinformation and deceit,""",undertaken,Torricelli,DYNAMIC,['DYNAMIC']
145,and called on him to release the sworn testimony,called,Torricelli,DYNAMIC,['DYNAMIC']
146,he gave to the panel.,gave,he,DYNAMIC,['DYNAMIC']
147,"Pascoe knew,",said,Pascoe,STATIVE,['DYNAMIC']
148,"""Only then will New Jersey voters be able to decide Torricelli's fitness for office.""",be,voters,STATIVE,['STATIVE']
